Employee Code,Student Name,Block,Floor,Room No.,Last Punch,Punch Records,Status
702,STUDENT1,HD2,FifthFloor,502,20:33:19,"20:33:19,",Present
101,STUDENT2,HC,ThirdFloor,302,,,Not Present
102,STUDENT3,HD2,FourthFloor,403,,,Not Present
103,STUDENT4,HD2,FifthFloor,507,,,Not Present
104,STUDENT5,HC,ThirdFloor,305,,,Not Present
105,STUDENT6,HD2,SecondFloor,205,,,Not Present
106,STUDENT7,HD2,FourthFloor,411,,,Not Present
107,STUDENT8,HD2,ThirdFloor,304,20:18:16,"20:18:16,",Present
108,STUDENT9,HD2,ThirdFloor,304,20:06:08,"20:06:08,",Present
109,STUDENT10,HC,ThirdFloor,305,19:50:18,"19:50:18,",Present
110,STUDENT11,HD2,FourthFloor,408,20:18:19,"20:18:19,",Present
112,STUDENT12,HD2,FourthFloor,410,,,Not Present
113,STUDENT13,HC,ThirdFloor,312,,,Not Present
114,STUDENT14,HC,ThirdFloor,311,,,Not Present
116,STUDENT15,HC,ThirdFloor,306,,,Not Present
117,STUDENT16,HD2,FifthFloor,503,,,Not Present
118,STUDENT17,HD2,SecondFloor,204,,,Not Present
119,STUDENT18,HD2,FourthFloor,408,,,Not Present
121,STUDENT19,HC,ThirdFloor,303,,,Not Present
122,STUDENT20,HC,ThirdFloor,301,19:43:55,"19:43:55,",Present
123,STUDENT21,HC,ThirdFloor,309,19:44:05,"19:44:05,",Present
124,STUDENT22,HD2,FourthFloor,411,19:43:57,"19:43:57,",Present
125,STUDENT23,HD2,FifthFloor,503,,,Not Present
127,STUDENT24,HD2,FourthFloor,401,19:55:05,"19:55:05,",Present
128,STUDENT25,HC,ThirdFloor,310,19:55:02,"19:55:02,",Present
129,STUDENT26,HC,ThirdFloor,311,20:08:47,"20:08:47,",Present
130,STUDENT27,HC,ThirdFloor,301,19:44:08,"19:44:08,",Present
131,STUDENT28,HC,SecondFloor,214,19:27:58,"19:27:58,",Present
132,STUDENT29,HD2,SecondFloor,204,19:44:02,"19:44:02,",Present
134,STUDENT30,HB,SecondFloor,208,19:37:59,"19:37:59,",Present
135,STUDENT31,HD2,ThirdFloor,307,,,Not Present
136,STUDENT32,HD2,FourthFloor,401,19:54:50,"19:54:50,",Present
138,STUDENT33,HC,ThirdFloor,311,19:54:55,"19:54:55,",Present
139,STUDENT34,HC,ThirdFloor,301,,,Not Present
140,STUDENT35,HC,ThirdFloor,303,19:37:56,"19:37:56,",Present
141,STUDENT36,HC,ThirdFloor,306,19:45:06,"19:45:06,",Present
142,STUDENT37,HD2,FourthFloor,411,19:45:01,"19:45:01,",Present
143,STUDENT38,HC,ThirdFloor,310,19:45:03,"19:45:03,",Present
144,STUDENT39,HC,ThirdFloor,304,20:08:18,"20:08:18,",Present
