Employee Code,Student Name,Block,Floor,Room No.,Last Punch,Punch Records,Status
702,STUDENT1,HD2,FifthFloor,502,19:54:03,"19:54:03,",Present
101,STUDENT2,HC,ThirdFloor,302,,,Not Present
102,STUDENT3,HD2,FourthFloor,403,,,Not Present
103,STUDENT4,HD2,FifthFloor,507,19:42:28,"19:42:28,",Present
104,STUDENT5,HC,ThirdFloor,305,20:00:17,"20:00:17,",Present
105,STUDENT6,HD2,SecondFloor,205,20:29:25,"20:29:25,20:11:23,",Present
106,STUDENT7,HD2,FourthFloor,411,,,Not Present
107,STUDENT8,HD2,ThirdFloor,304,20:03:14,"20:03:14,",Present
108,STUDENT9,HD2,ThirdFloor,304,20:16:51,"20:16:51,",Present
109,STUDENT10,HC,ThirdFloor,305,,,Not Present
110,STUDENT11,HD2,FourthFloor,408,20:03:52,"20:03:52,",Present
112,STUDENT12,HD2,FourthFloor,410,20:00:09,"20:00:09,",Present
113,STUDENT13,HC,ThirdFloor,312,,,Not Present
114,STUDENT14,HC,ThirdFloor,311,20:00:04,"20:00:04,",Present
116,STUDENT15,HC,ThirdFloor,306,20:11:04,"20:11:04,",Present
117,STUDENT16,HD2,FifthFloor,503,19:42:05,"19:42:05,",Present
118,STUDENT17,HD2,SecondFloor,204,19:43:13,"19:43:13,",Present
119,STUDENT18,HD2,FourthFloor,408,20:29:50,"20:29:50,",Present
121,STUDENT19,HC,ThirdFloor,303,19:31:49,"19:31:49,",Present
122,STUDENT20,HC,ThirdFloor,301,,,Not Present
123,STUDENT21,HC,ThirdFloor,309,19:32:42,"19:32:42,",Present
124,STUDENT22,HD2,FourthFloor,411,20:05:37,"20:05:37,",Present
125,STUDENT23,HD2,FifthFloor,503,19:53:55,"19:53:55,",Present
127,STUDENT24,HD2,FourthFloor,401,19:47:50,"19:47:50,",Present
128,STUDENT25,HC,ThirdFloor,310,20:21:50,"20:21:50,",Present
129,STUDENT26,HC,ThirdFloor,311,20:00:54,"20:00:54,",Present
130,STUDENT27,HC,ThirdFloor,301,,,Not Present
131,STUDENT28,HC,SecondFloor,214,19:51:31,"19:51:31,",Present
132,STUDENT29,HD2,SecondFloor,204,19:40:16,"19:40:16,",Present
134,STUDENT30,HB,SecondFloor,208,19:36:22,"19:36:22,",Present
135,STUDENT31,HD2,ThirdFloor,307,20:05:34,"20:05:34,",Present
136,STUDENT32,HD2,FourthFloor,401,19:41:52,"19:41:52,",Present
138,STUDENT33,HC,ThirdFloor,311,19:50:10,"19:50:10,",Present
139,STUDENT34,HC,ThirdFloor,301,,,Not Present
140,STUDENT35,HC,ThirdFloor,303,,,Not Present
141,STUDENT36,HC,ThirdFloor,306,19:47:26,"19:47:26,",Present
142,STUDENT37,HD2,FourthFloor,411,,,Not Present
143,STUDENT38,HC,ThirdFloor,310,20:02:31,"20:02:31,",Present
144,STUDENT39,HC,ThirdFloor,304,20:03:47,"20:03:47,",Present
146,STUDENT40,HD2,FourthFloor,404,19:30:12,"19:30:12,",Present
147,STUDENT41,HC,ThirdFloor,305,19:36:27,"19:36:27,",Present
148,STUDENT42,HB,SecondFloor,208,20:09:46,"20:09:46,",Present
149,STUDENT43,HC,ThirdFloor,310,20:18:32,"20:18:32,",Present
150,STUDENT44,HC,ThirdFloor,309,,,Not Present
151,STUDENT45,HD2,SecondFloor,205,20:29:16,"20:29:16,",Present
152,STUDENT46,HC,ThirdFloor,304,20:11:16,"20:11:16,",Present
153,STUDENT47,HD2,FifthFloor,507,,,Not Present
154,STUDENT48,HD2,FifthFloor,507,20:01:17,"20:01:17,",Present
155,STUDENT49,HC,ThirdFloor,302,20:00:01,"20:00:01,",Present
156,STUDENT50,HD2,ThirdFloor,303,,,Not Present
157,STUDENT51,HD2,ThirdFloor,307,,,Not Present
158,STUDENT52,HD2,FourthFloor,401,19:36:08,"19:36:08,",Present
159,STUDENT53,HD2,SecondFloor,205,,,Not Present
160,STUDENT54,HC,ThirdFloor,308,,,Not Present
161,STUDENT55,HD2,FourthFloor,408,20:00:14,"20:00:14,",Present
162,STUDENT56,HD2,FifthFloor,503,19:28:18,"19:28:18,",Present
163,STUDENT57,HC,SecondFloor,214,19:55:13,"19:55:13,",Present
164,STUDENT58,HD2,ThirdFloor,307,20:00:10,"20:00:10,",Present
165,STUDENT59,HD2,ThirdFloor,304,20:00:57,"20:00:57,",Present
166,STUDENT60,HD2,FifthFloor,508,19:47:58,"19:47:58,",Present
167,STUDENT61,HD2,FifthFloor,508,,,Not Present
168,STUDENT62,HD2,FourthFloor,407,,,Not Present
169,STUDENT63,HD2,ThirdFloor,303,19:47:55,"19:47:55,",Present
170,STUDENT64,HD2,FourthFloor,407,,,Not Present
171,STUDENT65,HD2,ThirdFloor,308,,,Not Present
172,STUDENT66,HC,ThirdFloor,312,,,Not Present
173,STUDENT67,HD2,FourthFloor,410,19:34:00,"19:34:00,",Present
174,STUDENT68,HC,SecondFloor,213,20:03:18,"20:03:18,",Present
175,STUDENT69,HD2,FifthFloor,504,,,Not Present
176,STUDENT70,HD2,FourthFloor,404,,,Not Present
177,STUDENT71,HC,ThirdFloor,306,,,Not Present
178,STUDENT72,HC,ThirdFloor,307,,,Not Present
179,STUDENT73,HD2,ThirdFloor,308,,,Not Present
180,STUDENT74,HD2,ThirdFloor,308,,,Not Present
181,STUDENT75,HD2,ThirdFloor,310,,,Not Present
182,STUDENT76,HD2,FourthFloor,403,,,Not Present
